BOARD,NAME,ADDRESS_AB,POSTAL_COD,CITY,PROVINCE,PHONE_NO,FAX_NO,EMAIL,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,GLOBAL_ID,POINT
The Calgary School Division,Adolescent Mental Health Services,805  37 St NW,T2N2T9,Calgary,AB,(403) 270-1751,,woodshomes@cbe.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{A2F5D912-8C13-4AE2-BBF8-33F6F138CA71},POINT (-114.1344107 51.0646688)
The Calgary School Division,Glendale School,2415 Kelwood Dr SW,T3E3Z8,Calgary,AB,(403) 777-8330,,glendale@cbe.ab.ca,Elementary,N,N,Y,N,N,{43CDB2DA-527E-4E60-99C2-46B1FCACC0CA},POINT (-114.14558 51.0324672)
The Calgary School Division,Banting and Best School,1819 66 Avenue SE,T2C2K5,Calgary,AB,(403) 777-8650,,bantingandbest@cbe.ab.ca,Elementary,N,N,Y,N,N,{B9E74ADF-D2AA-45CB-9318-52CAF31E322B},POINT (-114.0138538 50.993726)
The Calgary School Division,Grant MacEwan School,180 Falshire Dr NE,T3J3A5,Calgary,AB,(403) 777-6930,,grantmacewan@cbe.ab.ca,Elementary,N,N,Y,N,N,{95C03AAF-9AAB-4E8F-ACB2-6BB8EC4EBFE2},POINT (-113.9429503 51.1064276)
West Island College Society of Alberta,West Island College,7410 Blackfoot Trail S.E.,T2H1M5,Calgary,AB,(403) 255-5300,,office@mywic.ca,Junior High/Senior High,N,N,N,Y,Y,{317A4FE2-31D1-4786-A28F-098823289CFB},POINT (-114.0521604 50.9871044)
Asasa Learning,Asasa Academy,599 Northmount Drive N.W.,T2K3J6,Calgary,AB,(403) 285-5677,,,Elementary,N,N,Y,N,N,{1288E417-3739-482E-A1E1-368F3D02C98A},POINT (-114.0880221 51.0871733)
The Calgary School Division,Colonel Irvine School,412 Northmount Dr NW,T2K3H6,Calgary,AB,(403) 777-7280,,colonelirvine@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{C204D385-B8AF-4CCF-A704-2441F6A0FD02},POINT (-114.0799321 51.0924368)
The Calgary School Division,Thomas B. Riley School,3915  69 St NW,T3B2J9,Calgary,AB,(403) 777-7260,,thomasbriley@cbe.ab.ca,Junior High,N,N,N,Y,N,{96EA35FF-9B7E-40D9-9F41-FC5DEA88FA93},POINT (-114.1890516 51.0875292)
The Calgary Roman Catholic Separate School Division,Holy Child School,31 Silverado Terrace SW,T2X0K4,Calgary,AB,(403) 500-2130,,holychild@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{7757B37C-7D67-40C5-B7EF-91CB7AF0D374},POINT (-114.0831381 50.886183)
The Calgary Roman Catholic Separate School Division,St. Mark Elementary School,4589 Marbank Drive N.E.,T2A3V8,Calgary,AB,(403) 500-2068,,stmark@cssd.ab.ca,Elementary,N,N,Y,N,N,{5829F754-1C86-4524-90A1-79D15159EFBC},POINT (-113.9693478 51.0630324)
The Calgary School Division,Edgemont School,55 Edgevalley Cir NW,T3A4X1,Calgary,AB,(403) 777-6340,,edgemont@cbe.ab.ca,Elementary,N,N,Y,N,N,{794E5F3B-6F94-45EB-BAA3-4EECB75CE9B2},POINT (-114.1435785 51.1288887)
The Calgary School Division,Hugh A. Bennett School,40 Saddlelake Way NE,T3J0V1,Calgary,AB,(403) 817-3560,,hughabennett@cbe.ab.ca,Elementary,N,N,Y,N,N,{29B73970-EDAF-45F7-A659-3CF71915FACF},POINT (-113.9285483 51.131684)
Hellenic Society of Calgary and District,Greek Community School,1 Tamarac Crescent S.W.,T3C3B7,Calgary,AB,(403) 246-4553,,greekschool@calgaryhellenic.com,Senior High,N,N,N,N,Y,{B7A8771D-A972-4DE3-8128-54598301E200},POINT (-114.1374937 51.0481739)
The Calgary Roman Catholic Separate School Division,Our Lady of the Assumption School,7311 - 34 Avenue N.W.,T3B1N5,Calgary,AB,(403) 500-2045,,assumption@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{8496A599-DCC9-4FF2-B234-4BE8636D4A31},POINT (-114.1913503 51.0832996)
The Calgary Roman Catholic Separate School Division,All Saints School,729 Legacy Village Rd SE,T2X4K9,Calgary,AB,(403) 500-2133,,allsaints@cssd.ab.ca,Senior High,N,N,N,N,Y,{BBCED0AD-E5E6-45F0-B4C6-DC484269F1E7},POINT (-114.026751 50.8593286)
Eastside City Church and Missionary Society,Eastside Christian Academy,1320 Abbeydale Drive SE,T2A7L8,Calgary,AB,(403) 569-1003,,admin@eastsidechristianacademy.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{6C9E85AD-39E0-4662-A0AD-9B5045747DC3},POINT (-113.93022 51.0519523)
The Calgary School Division,Highwood School,11 Holmwood Ave NW,T2K2G5,Calgary,AB,(403) 777-6200,,highwood@cbe.ab.ca,Elementary,N,N,Y,N,N,{FB616BD6-4236-4846-A37F-CA4F876F7AD2},POINT (-114.0765328 51.0922436)
The Calgary School Division,CLS Lord Shaughnessy Writing Centre,2336 53 Ave SW,T3E1L2,Calgary,AB,(403) 777-7272,,chinooklearning@cbe.ab.ca,Unknown,N,N,N,N,N,{5141C237-5062-4D69-B24D-B5D0537FC84A},POINT (-114.1139277 51.0065169)
The Calgary Roman Catholic Separate School Division,John Costello Catholic School,300 Strathcona Drive S.W.,T3H1N9,Calgary,AB,(403) 500-2003,,Johncostello@cssd.ab.ca,Elementary,N,N,Y,N,N,{2D8EAED5-93CE-4C83-A749-4A2AA73F0083},POINT (-114.1807075 51.0488326)
The Calgary School Division,Fairview School,7840 Fairmount Dr SE,T2H0Y1,Calgary,AB,(403) 777-7900,,fairview@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{2BAAB6F6-3379-4A77-B4BF-9F01C55D5ADF},POINT (-114.05945 50.9839856)
The Calgary School Division,Silver Springs School,7235 Silver Mead Rd NW,T3B3V1,Calgary,AB,(403) 777-6070,,silversprings@cbe.ab.ca,Elementary,N,N,Y,N,N,{54351786-8861-4259-B7E3-8F246950D054},POINT (-114.1908255 51.1057102)
The Calgary Roman Catholic Separate School Division,St. Basil Elementary/Junior High School,919 Tuscany Drive NW,T3L2T5,Calgary,AB,(403) 500-2108,,stbasil@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{F553D91D-56B6-44D6-9392-8AB9406B2234},POINT (-114.2503171 51.1194184)
The Calgary School Division,Nellie McClung School,2315 Palliser Dr SW,T2V3S4,Calgary,AB,(403) 777-8620,,nelliemcclung@cbe.ab.ca,Elementary,N,N,Y,N,N,{2E50448F-0017-4E4C-A3AC-A700744F0E9E},POINT (-114.1130138 50.9684953)
The Palliser School Division,Calgary Christian High School,5029 - 26 Avenue S.W.,T3E0R5,Calgary,AB,(403) 242-2896,,ccssoffice@pallisersd.ab.ca,Junior High/Senior High,N,N,N,Y,Y,{0ACE84E5-956B-40F6-BE21-CA093F7ACEF2},POINT (-114.1589411 51.0297634)
The Calgary Roman Catholic Separate School Division,Holy Angels School,275 Riverglen Drive SE,T2C3T5,Calgary,AB,(403) 500-2101,,holyangels@cssd.ab.ca,Elementary,N,N,Y,N,N,{A1EF51F5-5B51-40CF-B900-69311A934747},POINT (-114.0100177 50.9740953)
The Alberta Ballet Company,Alberta Ballet School,"West Annex, 2nd Floor  906-12 Avenue S.W.",T2R1K7,Calgary,AB,(403) 245-2274,,schoolreception@albertaballet.com,Junior High/Senior High,N,N,N,Y,Y,{90B97C1F-EDA1-441A-90E9-85EF5987303E},POINT (-114.082058 51.042251)
The Calgary School Division,Bridlewood School,207 Bridleridge Way SW,T2Y0L4,Calgary,AB,,,,Elementary,N,N,Y,N,N,{F91DB676-D75D-44A8-90FC-E1209F50B143},POINT (-114.110662 50.9023836)
The Calgary School Division,Sir John Franklin School,2215  8 Ave NE,T2E0T7,Calgary,AB,(403) 777-7610,,sirjohnfranklin@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{AF0950D7-2CC7-4AA6-95A3-ECB705300BD8},POINT (-114.0079231 51.0596772)
The Calgary School Division,Sunalta School,536 Sonora Ave SW,T3C2J9,Calgary,AB,(403) 777-8590,,sunalta@cbe.ab.ca,Elementary,N,N,Y,N,N,{227171E9-2228-4FAB-90B7-C675A3CA38D0},POINT (-114.1108977 51.0413434)
The Calgary Roman Catholic Separate School Division,St. Peter Elementary School,720 - 58 Street S.E.,T2A5L9,Calgary,AB,(403) 500-2079,,stpeter@cssd.ab.ca,Elementary,N,N,Y,N,N,{2005371B-C188-400F-8FD6-950DC7D0053A},POINT (-113.949107 51.046185)
Gobind Marg Charitable Trust Foundation,Gobind Sarvar School Guru Nanak Gate Campus,8730 - 45 Street NE,T3J2J1,Calgary,AB,(403) 805-1822,,gss@gscalgary.com,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{56EB1F0F-ED2D-4DC2-A7F8-5CA55A7BFEE9},POINT (-113.9663021 51.1295367)
The Southern Francophone Education Region,École Notre-Dame-de-la-Paix,809 Willingdon Blvd SE,T2J2B7,Calgary,AB,(403) 271-5544,,ecolendp@francosud.ca,Elementary,N,N,Y,N,N,{A20535C1-9C8D-4700-BBFD-DDAB058FF100},POINT (-114.0433726 50.950917)
The Calgary School Division,Huntington Hills School,820  64 Ave NW,T2K0M5,Calgary,AB,(403) 777-6650,,huntingtonhills@cbe.ab.ca,Elementary,N,N,Y,N,N,{AE0A5423-BF6A-404F-8CE7-C6E6D123C516},POINT (-114.0774569 51.112209)
The Calgary Roman Catholic Separate School Division,Monsignor Neville Anderson School,327 Sandarac Drive N.W.,T3K4B2,Calgary,AB,(403) 500-2094,,mna.school@cssd.ab.ca,Elementary,N,N,Y,N,N,{8B8CE0FF-E29B-47D4-8D3E-E72F29B5A7E4},POINT (-114.1040923 51.139143)
Rundle College Society,Rundle College Academy,4330 - 16 Street S.W.,T2T4H9,Calgary,AB,(403) 250-2965,,contactus@rundle.ab.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{22D5AEE1-B4C9-4A3A-9B7E-420912CCE601},POINT (-114.0997725 51.0152966)
Centro Linguistico E Culturale Italiano Calgary,Italian School of Calgary,416-1 Avenue N.E.,T2E0B4,Calgary,AB,(403) 264-6349,,clcic@shaw.ca,Junior High/Senior High,N,N,N,Y,Y,{59A2D55F-C54A-472A-A982-EACF621C6C8B},POINT (-114.0531472 51.0537463)
The Calgary School Division,Terrace Road School,2103  46 St NW,T3B1B3,Calgary,AB,(403) 777-6080,,terraceroad@cbe.ab.ca,Elementary,N,N,Y,N,N,{10770CC5-D5A0-46D4-9483-51C0BDB2F4BC},POINT (-114.1579317 51.0745019)
The Calgary Roman Catholic Separate School Division,Our Lady of the Rosary School,41 Cranston Gate SE,T3M0W7,Calgary,AB,(403) 500-2126,,ourladyrosary@cssd.ab.ca,Elementary,N,N,Y,N,N,{DF7431CC-2864-4008-84A7-8F216433F850},POINT (-113.9682061 50.8744292)
The Calgary School Division,Captain John Palliser School,1484 Northmount Dr NW,T2L0G6,Calgary,AB,(403) 777-6170,,captainjohnpalliser@cbe.ab.ca,Elementary,N,N,Y,N,N,{CA81E560-2217-47F6-A785-48D5531DB239},POINT (-114.1360161 51.0963649)
The Calgary School Division,Ian Bazalgette School,3909  26 Ave SE,T2B0C6,Calgary,AB,(403) 777-7360,,ianbazalgette@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{70073BBF-5467-498E-830F-D7098CF8044A},POINT (-113.977669 51.02983)
The Calgary Roman Catholic Separate School Division,St. Rose of Lima Junior High School,2419 50 Street NE,T1Y1Z5,Calgary,AB,(403) 500-2071,,strose@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{072AB1CD-2992-4D2F-AD39-29D8322E96E4},POINT (-113.9622789 51.0758006)
The Calgary Roman Catholic Separate School Division,Christ the King Catholic School,333 Cranston Way SE,T3M1K6,Calgary,AB,(403) 500-2119,,christtheking@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{167AC64B-3A8A-4017-89AF-ED60EC206F13},POINT (-113.9759703 50.8878369)
The Calgary School Division,Buffalo Rubbing Stone School,1308 Panatella Blvd NW,T3K0X2,Calgary,AB,(403) 817-3536,,buffalorubbingstone@cbe.ab.ca,Elementary,N,N,Y,N,N,{31E56267-B89C-4B29-A524-96F89F2D1DB8},POINT (-114.0873685 51.1683524)
Banbury Crossroads School,Banbury Crossroads School,B1 #201  2451 Dieppe Avenue S.W.,T3E7K1,Calgary,AB,(403) 270-7787,,general@banburycrossroads.com,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{29014C77-11C8-4168-A072-9150547928BF},POINT (-114.1190388 51.0192866)
The Calgary School Division,Marshall Springs School,1100 Everridge Dr SW,T2Y4X5,Calgary,AB,(403) 817-3528,,marshallsprings@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{D2B6CC5B-AD4F-41FE-9B25-41300D5F023F},POINT (-114.1123004 50.9114448)
The Calgary School Division,The Hamptons School,10330 Hamptons Blvd NW,T3A6G2,Calgary,AB,(403) 777-7300,,hamptons@cbe.ab.ca,Elementary,N,N,Y,N,N,{1DEB85A4-A92F-446B-AA0E-A23575E06250},POINT (-114.148507 51.1434457)
Webber Academy Foundation,Webber Academy,1515 - 93 Street SW,T3H4A8,Calgary,AB,(403) 277-4700,,nwebber@webberacademy.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{8FC37B2C-C3C5-4C6A-B2D6-5B6873E6FDC4},POINT (-114.2250221 51.0441215)
The Calgary Roman Catholic Separate School Division,Father James Whelihan,70 Sunmills Drive S.E.,T2X2R5,Calgary,AB,(403) 500-2087,,fatherwhelihan@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{FA27B246-DE82-4654-BD65-5FBA3558B2B8},POINT (-114.0470194 50.9045243)
Lycee Louis Pasteur Society,Lycee Louis Pasteur,4099 Garrison Blvd. S.W.,T2T6G2,Calgary,AB,(403) 243-5420,,lycee.ab.ed@lycee.ca,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{0C36B5C5-D3B5-4E97-B202-42F6817D46F1},POINT (-114.1144436 51.0178041)
The Palliser School Division,Calgary Christian School,2839 - 49 Street S.W.,T3E3X9,Calgary,AB,(403) 242-2896,,ccesoffice@pallisersd.ab.ca,Elementary,N,N,Y,N,N,{5D6AC4DC-2250-49EF-9B18-D4EA7B6CDBCC},POINT (-114.1589506 51.0274677)
The Calgary School Division,Chris Akkerman School,5004 Marbank Dr NE,T2A3J6,Calgary,AB,(403) 777-8120,,chrisakkerman@cbe.ab.ca,Elementary,N,N,Y,N,N,{9315FC2E-84E5-4F88-978B-5980E3C01F28},POINT (-113.963011 51.0637573)
The Calgary Roman Catholic Separate School Division,St. Thomas Aquinas School,4540 - 26 Avenue S.W.,T3E0R1,Calgary,AB,(403) 500-2027,,stthomasaquinas@cssd.ab.ca,Elementary,N,N,Y,N,N,{D990D32A-2589-48A6-AD26-13C3A0FA6DC8},POINT (-114.1518544 51.0309722)
The Calgary School Division,Ranchlands School,610 Ranchlands Blvd NW,T3G2C5,Calgary,AB,(403) 777-6350,,ranchlands@cbe.ab.ca,Elementary,N,N,Y,N,N,{0938369C-16FC-4EAB-9985-3A7D8F68BE21},POINT (-114.1792097 51.1187048)
The Calgary School Division,Ron Southern School,483 Silverado Blvd SW,T2X2E2,Calgary,AB,(403) 817-3576,,ronsouthern@cbe.ab.ca,Elementary,N,N,Y,N,N,{D225EA9E-79D1-4C00-9EA5-D7A67287AB86},POINT (-114.0856882 50.8809318)
The Calgary School Division,Somerset School,150 Somerset Manor SW,T2Y4S2,Calgary,AB,,,somerset@cbe.ab.ca,Elementary,N,N,Y,N,N,{01B5F73E-970F-4E68-A109-559A6B6850C2},POINT (-114.0848851 50.8974058)
The Calgary School Division,Deer Run School,2127  146 Ave SE,T2J6P8,Calgary,AB,(403) 777-6840,,deerrun@cbe.ab.ca,Elementary,N,N,Y,N,N,{B463A4E6-9A06-42AC-9BB2-3D16489ADA0E},POINT (-114.0094545 50.9215554)
Asasa Learning,Little Angels,599 Northmount Dr NW,T2K3J6,Calgary,AB,(403) 285-9277,,,Unknown,N,N,N,N,N,{15CACBBC-C1B1-4DEC-8CAB-620853427F4C},POINT (-114.0880221 51.0871733)
Alberta Chung Wah School Society,Alberta Chung Wah School,"#270, 328 Centre Street S.E.",T2G4X6,Calgary,AB,(403) 271-8033,,office@albertachungwahschool.ca,Unknown,N,N,N,N,N,{66FFE2FD-B698-40B9-8AE8-8B83D6577DD0},POINT (-114.0617383 51.049565)
The Calgary School Division,Crossing Park School,500 Martindale Blvd NE,T3J4W8,Calgary,AB,(403) 777-7195,,crossingpark@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{E0051AEC-CAC8-4C58-82FC-0E98418251BA},POINT (-113.9663237 51.1156922)
Almadina School Society,"Almadina Language Charter Academy, Mountain View Campus",2031 Sable Drive S.E.,T2B1R9,Calgary,AB,(403) 543-5074,,,Elementary,N,N,Y,N,N,{6D789CD5-D634-43C2-9D7B-05E6FAB64254},POINT (-113.986831 51.0322005)
The Calgary School Division,Nose Creek School,135 Covepark Sq NE,T3K5W9,Calgary,AB,(403) 817-3360,,,Elementary/Junior High,N,N,Y,Y,N,{F8666102-ED88-425A-8687-C37632060148},POINT (-114.0606997 51.1671496)
Foundations for the Future Charter Academy Charter School Society,FFCA High School Campus,2116 McKay Road N.W.,T3B1C7,Calgary,AB,(403) 243-3316,,wanda.amundson@ffca-calgary.com,Junior High/Senior High,N,N,N,Y,Y,{08021EEB-E2FD-4D0B-8E5A-2B9542364656},POINT (-114.1518221 51.0702014)
The Calgary School Division,Louise Dean School,120  23 St NW,T2N2P1,Calgary,AB,(403) 777-7630,,louisedean@cbe.ab.ca,Senior High,N,N,N,N,Y,{ADA423DC-A796-41BF-A361-FD969F1C36EB},POINT (-114.1146825 51.0531507)
The Calgary School Division,Lord Beaverbrook High School,9019 Fairmount Dr SE,T2H0Z4,Calgary,AB,(403) 259-5585,,lordbeaverbrook@cbe.ab.ca,Senior High,N,N,N,N,Y,{0C17DF87-C57B-4104-9B13-BCECEE09AD7E},POINT (-114.0616396 50.9730998)
The Calgary School Division,Annie Gale School,577 Whiteridge Way NE,T1Y4S8,Calgary,AB,(403) 777-7680,,anniegale@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{233F9601-C0BB-4797-AC95-BD6C3B4850F1},POINT (-113.9689428 51.0890726)
The Calgary School Division,Children's Village School,1210 Russet Rd NE,T2E5L5,Calgary,AB,(403) 777-6114,,ChildrensVillage@cbe.ab.ca,Elementary,N,N,Y,N,N,{D7843DA1-088C-4F03-9953-A0F1E33275D5},POINT (-114.0419644 51.0638688)
Rundle College Society,Rundle Studio,7375 - 17 Avenue SW,T3H3W5,Calgary,AB,(403) 291-3866,,contactus@rundle.ab.ca,Junior High/Senior High,N,N,N,Y,Y,{0C0DB958-2875-48CD-B6B9-9DC2FBB256D8},POINT (-114.1939221 51.0368941)
The Calgary School Division,Robert Thirsk High School,8777 Nose Hill Dr NW,T3G5T3,Calgary,AB,,,RobertThirskHigh@cbe.ab.ca,Senior High,N,N,N,N,Y,{0E0B1FA8-D06B-456B-9CED-F16B89760E38},POINT (-114.1947783 51.1308413)
The Calgary Roman Catholic Separate School Division,Apostles of Jesus,15 Skyview Ranch Street NE,T3N1H6,Calgary,AB,(403) 500-2129,,apostlesofjesus@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{2EF868BE-EA28-4B61-8EC0-E33AA02C2E7E},POINT (-113.9565131 51.1584173)
The Calgary School Division,Glenbrook School,4725 33 Ave. S.W.,T3E3V1,Calgary,AB,(403) 777-8320,,glenbrook@cbe.ab.ca,Elementary,N,N,Y,N,N,{FB337D4C-B6B5-460C-996A-982752C9B1BA},POINT (-114.1549975 51.0235114)
The Calgary School Division,Canyon Meadows School,395 Canterbury Dr SW,T2W1J1,Calgary,AB,(403) 777-8600,,canyonmeadows@cbe.ab.ca,Elementary,N,N,Y,N,N,{48948DBB-F94C-41DF-A20B-2D120520432D},POINT (-114.0780912 50.9474104)
North Point School for Boys,North Point School for Boys,2445 - 23 Avenue SW,T2T0W3,Calgary,AB,(403) 744-5214,,,Elementary/Junior High,N,N,Y,Y,N,{92DB1777-E928-4227-9DE4-662C7D82EB7E},POINT (-114.1174839 51.0325564)
The Calgary School Division,Louis Riel School,9632 Oakfield Dr SW,T2V0L1,Calgary,AB,(403) 777-7650,,louisriel@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{9405ECE8-E0C3-4F22-A572-2D6AF41E5E6B},POINT (-114.1322579 50.9667311)
The Calgary School Division,Robert Warren School,12424 Elbow Dr SW,T2W1H2,Calgary,AB,(403) 777-7690,,robertwarren@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{74A5FDE9-3AA5-4A36-896D-0942C702A017},POINT (-114.0848171 50.9425217)
The Calgary School Division,Stanley Jones School,950 6 St NE,T2E8M3,Calgary,AB,(403) 777-6800,,Stanleyjones@cbe.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{542B3E05-02DF-45CF-AB61-4B35A52E2E94},POINT (-114.0477073 51.0599054)
The Calgary Roman Catholic Separate School Division,Our Lady of Peace Elementary Junior High School,14826 Millrise Hill S.W.,T2Y2B4,Calgary,AB,(403) 500-2097,,olp@cssd.ab.ca,Elementary/Junior High,N,N,Y,Y,N,{31AF9FC8-5488-4542-8DD0-96371906C2FB},POINT (-114.0877102 50.9184851)
New Heights School and Learning Services Society,New Heights School and Learning Services,2521 Dieppe Ave SW,T3E7M1,Calgary,AB,(403) 240-1312,,info@newheightscalgary.com,Elementary/Junior High/Senior High,N,N,Y,Y,Y,{44841B1D-7F39-48E1-B713-22BC296FF907},POINT (-114.1221707 51.0184736)
The Calgary Roman Catholic Separate School Division,Monsignor A. J. Hetherington Elementary School,4 Coral Springs Boulevard N.E,T3J3J3,Calgary,AB,(403) 500-2036,,msgrhetherington@cssd.ab.ca,Elementary,N,N,Y,N,N,{0E5F6EEA-A2D2-4F83-A0C4-BE02D67C2D1F},POINT (-113.9340476 51.0995523)
The Calgary School Division,CLS James Fowler Writing Centre,4004 4 St NE,T2K1A1,Calgary,AB,(403) 230-4743,,chinooklearning@cbe.ab.ca,Unknown,N,N,N,N,N,{EDA2C45D-146C-49FA-A341-8A0C87915079},POINT (-114.0705163 51.0865321)
The Calgary School Division,Guy Weadick School,5612 Templehill Rd NE,T1Y4W7,Calgary,AB,(403) 777-6740,,guyweadick@cbe.ab.ca,Elementary,N,N,Y,N,N,{264A013E-7CF9-419C-9309-C39021AC5610},POINT (-113.9529749 51.0869883)
